Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,3.118 €/m2,1.8%,2.1%,7.3%
01/01/25,3.064 €/m2,-0.1%,0.3%,4.8%
01/12/24,3.065 €/m2,0.3%,2.2%,4.2%
01/11/24,3.055 €/m2,"0,00%",3.1%,4.1%
01/10/24,3.056 €/m2,1.9%,4.6%,4.5%
01/09/24,3.000 €/m2,1.3%,2.2%,2.5%
01/08/24,2.963 €/m2,1.4%,0.9%,1.6%
01/07/24,2.921 €/m2,-0.5%,-0.5%,-0.3%
01/06/24,2.935 €/m2,"0,00%",0.9%,-0.3%
01/05/24,2.936 €/m2,"0,00%","1,00%",-1.9%
01/04/24,2.936 €/m2,0.9%,0.5%,-0.6%
01/03/24,2.909 €/m2,"0,00%",-1.1%,1.1%
01/02/24,2.907 €/m2,-0.5%,-0.9%,1.2%
01/01/24,2.923 €/m2,-0.7%,"0,00%",3.1%
01/12/23,2.942 €/m2,0.3%,0.5%,3.7%
01/11/23,2.933 €/m2,0.3%,0.5%,"3,00%"
01/10/23,2.923 €/m2,-0.2%,-0.2%,2.6%
01/09/23,2.928 €/m2,0.4%,-0.5%,3.5%
01/08/23,2.917 €/m2,-0.4%,-2.5%,3.6%
01/07/23,2.929 €/m2,-0.5%,-0.8%,5.4%
01/06/23,2.944 €/m2,-1.6%,2.3%,6.1%
01/05/23,2.992 €/m2,1.3%,4.2%,8.1%
01/04/23,2.954 €/m2,2.7%,4.2%,6.9%
01/03/23,2.877 €/m2,0.2%,1.5%,"4,00%"
01/02/23,2.873 €/m2,1.3%,0.9%,4.3%
01/01/23,2.835 €/m2,"0,00%",-0.5%,3.9%
01/12/22,2.836 €/m2,-0.4%,0.2%,6.5%
01/11/22,2.847 €/m2,-0.1%,1.1%,6.5%
01/10/22,2.849 €/m2,0.7%,2.5%,5.8%
01/09/22,2.830 €/m2,0.5%,"2,00%",4.4%
01/08/22,2.815 €/m2,1.3%,1.7%,3.9%
01/07/22,2.780 €/m2,0.2%,0.6%,3.1%
01/06/22,2.775 €/m2,0.2%,0.3%,4.8%
01/05/22,2.769 €/m2,0.2%,0.6%,4.5%
01/04/22,2.764 €/m2,-0.2%,1.3%,3.6%
01/03/22,2.768 €/m2,0.5%,3.9%,3.4%
01/02/22,2.753 €/m2,0.9%,"3,00%","3,00%"
01/01/22,2.729 €/m2,2.5%,1.4%,1.7%
01/12/21,2.664 €/m2,-0.4%,-1.7%,-1.8%
01/11/21,2.674 €/m2,-0.7%,-1.3%,0.2%
01/10/21,2.692 €/m2,-0.6%,-0.2%,"1,00%"
01/09/21,2.710 €/m2,"0,00%",2.4%,-2.6%
01/08/21,2.709 €/m2,0.4%,2.2%,-2.7%
01/07/21,2.697 €/m2,1.9%,1.1%,-1.7%
01/06/21,2.647 €/m2,-0.1%,-1.1%,-2.3%
01/05/21,2.650 €/m2,-0.6%,-0.8%,"-2,00%"
01/04/21,2.667 €/m2,-0.4%,-0.6%,-0.1%
01/03/21,2.677 €/m2,0.2%,-1.3%,0.7%
01/02/21,2.672 €/m2,-0.4%,0.1%,0.8%
01/01/21,2.683 €/m2,-1.1%,0.6%,1.9%
01/12/20,2.713 €/m2,1.6%,-2.5%,0.8%
01/11/20,2.669 €/m2,0.1%,-4.2%,-0.8%
01/10/20,2.666 €/m2,-4.2%,-2.8%,-1.5%
01/09/20,2.783 €/m2,-0.1%,2.7%,3.3%
01/08/20,2.785 €/m2,1.6%,"3,00%",2.2%
01/07/20,2.742 €/m2,1.2%,2.7%,1.7%
01/06/20,2.711 €/m2,0.3%,"2,00%",-0.2%
01/05/20,2.704 €/m2,1.3%,"2,00%","-1,00%"
01/04/20,2.669 €/m2,0.4%,1.4%,-1.1%
01/03/20,2.658 €/m2,0.3%,-1.3%,-1.6%
01/02/20,2.651 €/m2,0.7%,-1.5%,0.2%
01/01/20,2.633 €/m2,-2.2%,-2.7%,-0.2%
01/12/19,2.692 €/m2,"0,00%",-0.1%,3.3%
01/11/19,2.691 €/m2,-0.6%,-1.3%,2.4%
01/10/19,2.706 €/m2,0.4%,0.4%,1.9%
01/09/19,2.695 €/m2,-1.1%,-0.8%,1.1%
01/08/19,2.725 €/m2,1.1%,-0.2%,3.1%
01/07/19,2.696 €/m2,-0.7%,-0.1%,4.9%
01/06/19,2.716 €/m2,-0.6%,0.5%,5.2%
01/05/19,2.732 €/m2,1.2%,3.2%,4.6%
01/04/19,2.699 €/m2,-0.1%,2.3%,4.4%
01/03/19,2.703 €/m2,2.1%,3.7%,4.7%
01/02/19,2.647 €/m2,0.3%,0.7%,4.7%
01/01/19,2.637 €/m2,1.2%,-0.7%,4.2%
01/12/18,2.606 €/m2,-0.9%,-2.2%,3.1%
01/11/18,2.628 €/m2,"-1,00%",-0.5%,2.2%
01/10/18,2.656 €/m2,-0.4%,3.3%,4.5%
01/09/18,2.665 €/m2,0.9%,3.3%,5.2%
01/08/18,2.642 €/m2,2.8%,1.2%,6.8%
01/07/18,2.571 €/m2,-0.4%,-0.6%,4.1%
01/06/18,2.581 €/m2,-1.1%,"0,00%",4.8%
01/05/18,2.611 €/m2,"1,00%",3.2%,5.5%
01/04/18,2.586 €/m2,0.1%,2.1%,4.9%
01/03/18,2.582 €/m2,2.1%,2.2%,3.3%
01/02/18,2.529 €/m2,-0.1%,-1.6%,1.9%
01/01/18,2.532 €/m2,0.2%,-0.4%,3.6%
01/12/17,2.528 €/m2,-1.7%,-0.2%,3.7%
01/11/17,2.571 €/m2,1.2%,3.9%,5.8%
01/10/17,2.542 €/m2,0.4%,"3,00%",4.9%
01/09/17,2.533 €/m2,2.3%,2.9%,4.2%
01/08/17,2.475 €/m2,0.2%,"0,00%",1.5%
01/07/17,2.469 €/m2,0.3%,0.2%,"0,00%"
01/06/17,2.462 €/m2,-0.5%,-1.5%,0.6%
01/05/17,2.476 €/m2,0.5%,-0.2%,0.4%
01/04/17,2.465 €/m2,-1.4%,0.9%,-0.5%
01/03/17,2.500 €/m2,0.7%,2.5%,1.4%
01/02/17,2.482 €/m2,1.6%,2.2%,1.3%
01/01/17,2.443 €/m2,0.2%,0.8%,"-1,00%"
01/12/16,2.438 €/m2,0.4%,0.3%,-1.9%
01/11/16,2.429 €/m2,0.3%,-0.4%,-1.1%
01/10/16,2.423 €/m2,-0.4%,-1.9%,0.6%
01/09/16,2.431 €/m2,-0.3%,-0.7%,"0,00%"
01/08/16,2.438 €/m2,-1.3%,-1.1%,1.1%
01/07/16,2.470 €/m2,0.9%,-0.3%,0.4%
01/06/16,2.449 €/m2,-0.7%,-0.7%,0.5%
01/05/16,2.466 €/m2,-0.5%,0.7%,0.1%
01/04/16,2.478 €/m2,0.5%,0.4%,1.3%
01/03/16,2.465 €/m2,0.6%,-0.8%,0.1%
01/02/16,2.449 €/m2,-0.7%,-0.2%,-0.7%
01/01/16,2.467 €/m2,-0.7%,2.5%,0.3%
01/12/15,2.484 €/m2,1.2%,2.2%,-1.5%
01/11/15,2.455 €/m2,"2,00%",1.8%,-2.6%
01/10/15,2.407 €/m2,"-1,00%",-2.2%,-3.6%
01/09/15,2.431 €/m2,0.8%,-0.2%,"-4,00%"
01/08/15,2.412 €/m2,"-2,00%",-2.1%,-3.5%
01/07/15,2.461 €/m2,"1,00%",0.6%,-1.9%
01/06/15,2.437 €/m2,-1.1%,-1.1%,-3.4%
01/05/15,2.463 €/m2,0.7%,-0.2%,-4.6%
01/04/15,2.447 €/m2,-0.7%,-0.6%,-5.4%
01/03/15,2.463 €/m2,-0.2%,-2.3%,-5.6%
01/02/15,2.468 €/m2,0.3%,-2.1%,-5.7%
01/01/15,2.460 €/m2,-2.4%,-1.5%,"-6,00%"
01/12/14,2.522 €/m2,"0,00%",-0.4%,-3.7%
01/11/14,2.521 €/m2,"1,00%",0.9%,-4.9%
01/10/14,2.498 €/m2,-1.3%,-0.4%,-6.8%
01/09/14,2.532 €/m2,1.4%,0.3%,-6.4%
01/08/14,2.498 €/m2,-0.4%,-3.2%,-7.8%
01/07/14,2.509 €/m2,-0.6%,"-3,00%",-8.5%
01/06/14,2.524 €/m2,-2.2%,-3.3%,-7.9%
01/05/14,2.582 €/m2,-0.2%,-1.3%,-6.2%
01/04/14,2.586 €/m2,-0.9%,-1.2%,-6.3%
01/03/14,2.610 €/m2,-0.2%,-0.3%,-7.6%
01/02/14,2.616 €/m2,-0.1%,-1.3%,-8.9%
01/01/14,2.618 €/m2,"0,00%",-2.3%,-10.6%
01/12/13,2.618 €/m2,-1.2%,-3.2%,-10.2%
01/11/13,2.651 €/m2,-1.1%,-2.2%,-11.4%
01/10/13,2.679 €/m2,-0.9%,-2.3%,-11.3%
01/09/13,2.705 €/m2,-0.2%,-1.3%,"-11,00%"
01/08/13,2.711 €/m2,-1.1%,-1.5%,-10.6%
01/07/13,2.742 €/m2,0.1%,-0.7%,-11.2%
01/06/13,2.740 €/m2,-0.5%,"-3,00%",-12.8%
01/05/13,2.753 €/m2,-0.3%,-4.1%,-15.1%
01/04/13,2.762 €/m2,-2.3%,-5.7%,-15.7%
01/03/13,2.825 €/m2,-1.6%,"-3,00%",-13.6%
01/02/13,2.870 €/m2,"-2,00%",-4.1%,-12.7%
01/01/13,2.928 €/m2,0.5%,-3.1%,"-13,00%"
01/12/12,2.914 €/m2,-2.7%,-4.1%,-13.3%
01/11/12,2.993 €/m2,"-1,00%",-1.3%,-12.8%
01/10/12,3.022 €/m2,-0.5%,-2.1%,-11.8%
01/09/12,3.038 €/m2,0.2%,-3.4%,-10.3%
01/08/12,3.031 €/m2,-1.8%,-6.6%,-10.7%
01/07/12,3.086 €/m2,-1.8%,-5.8%,-10.2%
01/06/12,3.144 €/m2,-3.1%,-3.9%,-9.4%
01/05/12,3.244 €/m2,"-1,00%",-1.3%,-7.3%
01/04/12,3.276 €/m2,0.2%,-2.7%,"-6,00%"
01/03/12,3.270 €/m2,-0.5%,-2.7%,-7.4%
01/02/12,3.288 €/m2,-2.3%,-4.3%,-5.6%
01/01/12,3.366 €/m2,0.1%,-1.8%,-3.3%
01/12/11,3.361 €/m2,-2.1%,-0.8%,-5.1%
01/11/11,3.434 €/m2,0.2%,1.2%,"-2,00%"
01/10/11,3.427 €/m2,1.2%,-0.3%,-2.2%
01/09/11,3.387 €/m2,-0.2%,-2.4%,-2.2%
01/08/11,3.393 €/m2,-1.3%,"-3,00%",-1.6%
01/07/11,3.437 €/m2,"-1,00%",-1.4%,-0.2%
01/06/11,3.471 €/m2,-0.8%,-1.7%,n.d.
01/05/11,3.499 €/m2,0.4%,0.5%,n.d.
01/04/11,3.485 €/m2,-1.3%,0.1%,n.d.
01/03/11,3.532 €/m2,1.4%,-0.2%,n.d.
01/02/11,3.482 €/m2,"0,00%",-0.6%,n.d.
01/01/11,3.480 €/m2,-1.7%,-0.6%,n.d.
01/12/10,3.540 €/m2,1.1%,2.2%,n.d.
01/11/10,3.503 €/m2,"0,00%",1.6%,n.d.
01/10/10,3.502 €/m2,1.1%,1.6%,n.d.
01/09/10,3.464 €/m2,0.5%,n.d.,n.d.
01/08/10,3.448 €/m2,0.1%,n.d.,n.d.
01/07/10,3.446 €/m2,n.d.,n.d.,n.d.
01/06/10,n.d.,n.d.,n.d.,n.d.
01/05/10,n.d.,n.d.,n.d.,n.d.
01/04/10,n.d.,n.d.,n.d.,n.d.
01/03/10,n.d.,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
01/09/08,n.d.,n.d.,n.d.,n.d.
01/08/08,n.d.,n.d.,n.d.,n.d.
01/07/08,n.d.,n.d.,n.d.,n.d.
01/06/08,n.d.,n.d.,n.d.,n.d.
01/05/08,n.d.,n.d.,n.d.,n.d.
01/04/08,n.d.,n.d.,n.d.,n.d.
01/03/08,n.d.,n.d.,n.d.,n.d.
01/02/08,n.d.,n.d.,n.d.,n.d.
01/01/08,n.d.,n.d.,n.d.,n.d.
01/12/07,n.d.,n.d.,n.d.,n.d.
01/11/07,n.d.,n.d.,n.d.,n.d.
01/10/07,n.d.,n.d.,n.d.,n.d.
01/09/07,n.d.,n.d.,n.d.,n.d.
01/08/07,n.d.,n.d.,n.d.,n.d.
01/07/07,n.d.,n.d.,n.d.,n.d.
01/06/07,n.d.,n.d.,n.d.,n.d.
01/05/07,n.d.,n.d.,n.d.,n.d.
01/04/07,n.d.,n.d.,n.d.,n.d.
01/03/07,n.d.,n.d.,n.d.,n.d.
01/02/07,n.d.,n.d.,n.d.,n.d.
01/01/07,n.d.,n.d.,n.d.,n.d.
01/12/06,n.d.,n.d.,n.d.,n.d.
01/11/06,n.d.,n.d.,n.d.,n.d.
01/10/06,n.d.,n.d.,n.d.,n.d.
01/09/06,n.d.,n.d.,n.d.,n.d.
01/08/06,n.d.,n.d.,n.d.,n.d.
01/07/06,n.d.,n.d.,n.d.,n.d.
01/06/06,n.d.,n.d.,n.d.,n.d.
01/05/06,n.d.,n.d.,n.d.,n.d.
01/04/06,n.d.,n.d.,n.d.,n.d.
01/03/06,n.d.,n.d.,n.d.,n.d.
01/02/06,n.d.,n.d.,n.d.,n.d.
01/01/06,n.d.,n.d.,n.d.,n.d.
